resort,country,total score,overall rank,hastags number,hashtag rate,hashtag rank,tripadvisor score,tripvadvisor rate,tripadvisor rank,ski pass cost,ski pass cost rate,ski pass cost rank,food and drinks cost,food and drinks score,food and drinks rank
Fernie,Canada,55,108,222847,3,60,4.16,20,135,259,18,186,382,14,61
Montafon,Canada,55,108,184327,2,81,3.8,19,202,192,20,100,361,14,61
Pyhä,Finland,55,108,43084,1,127,3.6,18,239,142,22,5,375,14,61
Montchavin Les Coches,France,55,108,2731,1,127,4.2,21,82,223,19,161,373,14,61
Serre Chevalier,France,55,108,181861,2,81,3.9,19,202,184,20,100,375,14,61
Val d'Allos - La Foux,France,55,108,1097,1,127,4.1,20,135,169,21,34,402,13,141
Val Thorens,France,55,108,448196,5,29,4.1,20,135,277,17,210,402,13,141
Vaujany,France,55,108,20834,1,127,4,20,135,145,22,5,419.16,12,166
Pozza di Fassa,Italy,55,108,35226,1,127,4.16,20,135,194,20,100,375,14,61
San Cassiano,Italy,55,108,41518,1,127,4.06,20,135,206,20,100,375,14,61
Leukerbad / Loeche-les-Bains,Switzerland,55,108,60783,1,127,4.43,22,31,262,18,186,361,14,61
Saas Fee,Switzerland,55,108,176648,2,81,4.6,23,4,337,15,242,352,15,24
Samnaun,Switzerland,55,108,53206,1,127,3.9,19,202,207,20,100,352,15,24
Telluride,USA,55,108,702061,8,19,4.33,21,82,408,13,266,401.59,13,141
Hochgurgl,Austria,54,126,29731,1,127,4,20,135,210,19,161,361,14,61
Kaprun,Austria,54,126,278692,3,60,4.4,22,31,194,20,100,509,9,216
Kirchdorf,Austria,54,126,22903,1,127,4.5,22,31,177,21,34,478.94,10,197
Mayrhofen,Austria,54,126,221474,3,60,4.73,23,4,372,14,254,361,14,61
Owl's Head,Canada,54,126,1178,1,127,3.6,18,239,177,21,34,375,14,61
Le Corbier,France,54,126,19987,1,127,4.53,22,31,153,21,34,489,10,197
Valmorel,France,54,126,65634,1,127,3.9,19,202,183,20,100,371,14,61
Vars,France,54,126,96900,1,127,4.1,20,135,155,21,34,419,12,166
Folgarida,Italy,54,126,37452,1,127,4.6,23,4,137,22,5,552.44,8,229
Livigno,Italy,54,126,732252,8,19,4.56,22,31,139,22,5,713,2,251
Ortisei,Italy,54,126,170751,2,81,3.46,17,274,209,20,100,352,15,24
Passo Tonale,Italy,54,126,34514,1,127,3.8,19,202,208,20,100,375,14,61
Hafjell Lillehammer,Norway,54,126,6,1,127,3,15,291,106,23,1,335.65,15,24
Kranjska Gora,Slovenia,54,126,167423,2,81,4.13,20,135,138,22,5,479,10,197
Vemdalen,Sweden,54,126,127564,2,81,3.8,19,202,173,21,34,419.16,12,166
Engelberg,Switzerland,54,126,255835,3,60,4,20,135,273,17,210,382,14,61
Grindelwald,Switzerland,54,126,714170,8,19,4.16,20,135,263,18,186,547.68,8,229
Savognin,Switzerland,54,126,25692,1,127,3.5,21,82,243,18,186,375,14,61
Whitefish Mountain,USA,54,126,3793,1,127,4,20,135,360,14,254,220,19,5
Alpbach,Austria,53,145,40133,1,127,4.46,22,31,219,19,161,446,11,178
Fieberbrunn,Austria,53,145,57866,1,127,4.6,23,4,164,21,34,552.44,8,229
Katschberg,Austria,53,145,31152,1,127,4.46,22,31,180,20,100,478.94,10,197
Nauders,Austria,53,145,42684,1,127,3.86,19,202,163,21,34,416,12,166
Scheffau,Austria,53,145,37201,1,127,3.63,18,239,203,20,100,375.41,14,61
St Wolfgang,Austria,53,145,39329,1,127,3.36,16,289,125,22,5,375.41,14,61
Stubai glacier,Austria,53,145,16124,1,127,4,20,135,210,19,161,401.59,13,141
Valle Nevado,Chile,53,145,321326,4,40,4,20,135,304,16,229,401.59,13,141
